"cnpj";"razao_social";"nome_fantasia";"abertura";"situacao";"tipo";"porte";"telefone";"email";"logradouro";"numero";"bairro";"municipio";"uf";"cep";"cnae_principal";"cnae_principal_desc";"cnaes_secundarios";"socios"
"02.837.536/0001-91";"CLS TECNOLOGIA ANALITICA E SISTEMAS DE GESTAO LTDA";"CLS TECNOLOGIA";"1998-11-05";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3737-0020/ (19)";"j.jardim@uol.com.br";"AV EVANDRO BATISTA VIEIRA";"165";"ALPHAVILLE";"CAMPINAS";"SP";"13.098-3";"71.20-1-00";"Testes e análises técnicas";"70.20-4-00 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"MARIA CRISTINA LUVIZOTTI SCARPATO; NELSON LUIS SCARPATO"
"03.132.745/0001-00";"COORDENACAO GERAL DE RECURSOS LOGISTICOS/ MCTI";"CGRL/ MCTI";"1999-04-30";"ATIVA";"MATRIZ";"DEMAIS";"(061) 3177-700 / (06";"";"ESPLANADA DOS MINISTERIOS BLOCO E";"S/N";"CENTRAL";"BRASILIA";"DF";"70.067-9";"84.11-6-00";"Administração pública em geral";"00.00-0-00 - Não informada";""
"03.319.174/0002-90";"INSPAND EDUCACAO CORPORATIVA E SOLUCOES DIGITAIS LTDA";"";"2008-04-02";"ATIVA";"FILIAL";"DEMAIS";"(19) 2514-9900";"eliane.guimaraes@isat.com.br";"RUA JOSE PAULINO";"1399";"CENTRO";"CAMPINAS";"SP";"13.013-0";"82.30-0-01";"Serviços de organização de feiras, congressos, exposições e festas";"47.59-8-99 - Comércio varejista de outros artigos de uso doméstico não especificados anteriormente; 47.61-0-03 - Comércio varejista de artigos de papelaria; 47.81-4-00 - Comércio varejista de artigos do vestuário e acessórios; 59.11-1-99 - Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente; 61.90-6-01 - Provedores de acesso às redes de comunicações; 62.01-5-02 - Web desing; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 63.19-4-00 - Portais, provedores de conteúdo e outros serviços de informação na internet; 64.63-8-00 - Outras sociedades de participação, exceto holdings; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";""
"03.376.350/0001-45";"LVK SISTEMAS LTDA";"LVK";"1999-08-25";"ATIVA";"MATRIZ";"DEMAIS";"(11) 3864-6477 / (11";"atendimento@apoioaic.com.br";"RUA JOAQUIM MACHADO";"283";"LAPA";"SAO PAULO";"SP";"05.050-0";"62.01-5-01";"Desenvolvimento de programas de computador sob encomenda";"62.04-0-00 - Consultoria em tecnologia da informação";"RICARDO BACCARELLI; FERNANDO MAURO ROCHA RIBEIRO; MARIA GUIOMAR ROCHA RIBEIRO"
"03.435.139/0001-56";"METAL COAT INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA";"";"1999-10-06";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3935-4095";"adm@metalcoat.com.br";"AV VITORIA ROSSI MARTINI";"839";"COMERCIAL VITORIA ROSSI MARTINI";"INDAIATUBA";"SP";"13.347-6";"20.99-1-99";"Fabricação de outros produtos químicos não especificados anteriormente";"33.14-7-10 - Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente; 33.21-0-00 - Instalação de máquinas e equipamentos industriais; 71.20-1-00 - Testes e análises técnicas; 82.99-7-99 - Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"SERGIO DE CAMARGO ANDRADE FILHO; DEBORA PACKER DE CAMARGO ANDRADE"
"03.582.243/0001-73";"DAE SA - AGUA E ESGOTO";"DAE";"1999-12-31";"ATIVA";"MATRIZ";"DEMAIS";"(11) 4589-1300 / (11";"contabil@daejundiai.com.br";"AVENIDA ALEXANDRE LUDKE";"1500";"VILA BANDEIRANTES";"JUNDIAI";"SP";"13.214-0";"36.00-6-01";"Captação, tratamento e distribuição de água";"00.00-0-00 - Não informada";"GISELE SCHMIDT HASSUM; HELEN CAPPELLETTI DE LIMA; LUISA COSTOLA ALBUQUERQUE; JOAO JOSE VIVEIROS; WAGNER VIEIRA CHACHA; LUIZ FERNANDO CAMARGO PETRONI; FERNANDO UNGARO; NADIA ZACHARCZUK; ANTONIO CARLOS CHEQUIN; JAMES CESAR CARRION; KARIN PALHARES KOPER; JOSE ROBERTO KASSAI; ULISSES NICIOLI JUNIOR; LUIZ ROBERTO DEL GELMO; FELIPE OSHIRO; MESSIAS MERCADANTE DE CASTRO; DARLENE SANTIAGO POLETTO; BENEDITO PEDRO DE ALMEIDA NOGUEIRA; EDUARDO SANTOS PALHARES"
"03.809.579/0001-26";"SAVEWAY COMERCIO E REPRESENTACOES DE SOFTWARES LTDA";"";"2000-05-12";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 9982-8890 / (19";"adm@saveway.com.br";"AVENIDA JOSE ROCHA BOMFIM";"214";"LOTEAMENTO CENTER SANTA GENEBRA";"CAMPINAS";"SP";"13.080-6";"45.20-0-06";"Serviços de borracharia para veículos automotores";"26.22-1-00 - Fabricação de periféricos para equipamentos de informática; 46.14-1-00 - Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"CLAUDIO CANDIDO LIMA; JOSE CARUSO GOMES; ANTONIO JOAO MORENO"
"03.901.413/0001-35";"TAVARES & CASTRO COMERCIO E SERVICOS EM INFORMATICA LTDA";"";"2000-06-21";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 3327-0038";"contabilidade.classea@gmail.com";"R CAMARGO PAES";"814";"GUANABARA";"CAMPINAS";"SP";"13.073-3";"47.51-2-01";"Comércio varejista especializado de equipamentos e suprimentos de informática";"82.11-3-00 - Serviços combinados de escritório e apoio administrativo; 63.19-4-00 - Portais, provedores de conteúdo e outros serviços de informação na internet; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"PAULO FRANCISCO TAVARES DE CASTRO PEREIRA"
"03.905.341/0001-02";"ISM SANEAMENTO E ANALITICA LTDA";"ISM AMBIENTAL";"2000-06-06";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 8850-6611";"ism@ismsaneamento.com";"RUA DAS VITORIAS REGIAS";"435";"JARDIM DAS VITORIAS REGIAS";"VALINHOS";"SP";"13.273-0";"71.12-0-00";"Serviços de engenharia";"46.45-1-01 - Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios; 47.89-0-99 - Comércio varejista de outros produtos não especificados anteriormente; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 71.20-1-00 - Testes e análises técnicas; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente; 82.11-3-00 - Serviços combinados de escritório e apoio administrativo";"IVAN SOARES DE MORAES"
"04.202.583/0001-94";"T&E ANALITICA - CENTRO DE PESQUISAS, DESENVOLVIMENTOS, ANALISES E CONSULTORIA QUIMICA, BIOLOGICA E FARMACEUTICA LTDA";"T&E ANALITICA - CENTRO DE PESQUISA CIENTIFICA";"2000-12-08";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3241-3968";"";"RUA LAURO VANNUCCI";"1260";"JARDIM SANTA CANDIDA";"CAMPINAS";"SP";"13.087-5";"72.10-0-00";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"71.20-1-00 - Testes e análises técnicas; 74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente";"FLAVIO LEITE; MARIA DAS GRACAS MARTINI LEITE"
"04.213.425/0001-30";"IKA BRASIL EQUIPAMENTOS LABORATORIAIS, ANALITICOS E PROCESSOS LTDA";"IKA BRASIL";"2000-12-13";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3243-5124 / (19";"centercontrol@centercontrol.com.br";"RUA ALFREDO DA COSTA FIGO";"102";"PARQUE RURAL FAZENDA SANTA CANDIDA";"CAMPINAS";"SP";"13.087-5";"26.51-5-00";"Fabricação de aparelhos e equipamentos de medida, teste e controle";"33.12-1-02 - Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle; 46.45-1-01 - Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios; 46.64-8-00 - Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças; 46.89-3-99 - Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 64.63-8-00 - Outras sociedades de participação, exceto holdings; 82.11-3-00 - Serviços combinados de escritório e apoio administrativo";"BRUNO MAYR RODRIGUES; IKA-WERKE GMBHY & CO KG; IKA WORKS INC"
"04.214.651/0003-05";"PACKDUQUE INDUSTRIA DE PLASTICOS LTDA";"";"2008-04-03";"ATIVA";"FILIAL";"DEMAIS";"(19) 3881-7400 / (11";"filipo.souza@packinggroup.com.br";"RUA LARTE PAIVA";"130A";"MACUCO";"VALINHOS";"SP";"13.279-4";"22.22-6-00";"Fabricação de embalagens de material plástico";"00.00-0-00 - Não informada";""
"04.329.668/0001-38";"EUROFINS DO BRASIL ANALISES DE ALIMENTOS LTDA.";"";"2001-03-14";"ATIVA";"MATRIZ";"DEMAIS";"(19) 2107-5500 / (19";"br_tax@eurofinslatam.com";"RODOVIA ENGENHEIRO ERMENIO DE OLIVEIRA PENTEADO";"S/N";"TOMBADOURO";"INDAIATUBA";"SP";"13.337-3";"72.10-0-00";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"21.23-8-00 - Fabricação de preparações farmacêuticas; 46.45-1-01 - Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios; 71.20-1-00 - Testes e análises técnicas; 74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"EDISON DE FRAIA JUNIOR; EUROFINS LATIN AMERICAN VENTURES S.L.; EUROFINS ENVIRONMENT TESTING NETHERLANDS HOLDING B. V."
"04.337.111/0001-49";"C. B. O. ANALISES LABORATORIAIS LTDA.";"CBO ASSESSORIA E ANALISE";"2001-03-13";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3790-1501";"administrativo@cboanalise.com.br";"AV ARQUITETO CLAYTON ALVES CORREA";"327";"VALE VERDE";"VALINHOS";"SP";"13.279-0";"71.20-1-00";"Testes e análises técnicas";"00.00-0-00 - Não informada";"OTAVIO VASCONCELOS VIEIRA; BARBARA VASCONCELOS VIEIRA; JOSE CLOVIS VIEIRA; ONEIDA FRANCISCA DE VASCONCELOS VIEIRA"
"04.556.068/0001-02";"EVOLUSERVICES INSTITUICAO DE PAGAMENTO LTDA";"";"2001-07-17";"ATIVA";"MATRIZ";"DEMAIS";"(11) 3014-8600";"natalia@saudeservice.com.br";"AV PAULISTA";"2202";"BELA VISTA";"SAO PAULO";"SP";"01.310-9";"66.13-4-00";"Administração de cartões de crédito";"47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 64.62-0-00 - Holdings de instituições não-financeiras; 66.19-3-02 - Correspondentes de instituições financeiras; 77.39-0-99 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador; 77.40-3-00 - Gestão de ativos intangíveis não-financeiros; 82.99-7-99 - Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"JEAN LUC SENAC; JOAO PAULO PEREIRA SCALETT; LUCIANA CUNHA DA SILVA; GABRIEL HENRIQUES SANTOS DE OLIVEIRA; TATIANE SILVA DE FARIAS; RICARDO LEME MENIN; ALESSANDRO MORETTI; NATALIA FOIZER SPELTA"
"04.913.129/0001-41";"CONFIDENCE CORRETORA DE CAMBIO S/A";"";"2001-12-26";"ATIVA";"MATRIZ";"DEMAIS";"(11) 3728-8491";"informativoscnpj@confidencecambio.com.br";"AV ENGENHEIRO LUIZ CARLOS BERRINI";"105";"CIDADE MONCOES";"SAO PAULO";"SP";"04.571-0";"66.12-6-03";"Corretoras de câmbio";"00.00-0-00 - Não informada";"JOAO MANUEL CAMPANELLI FREITAS; CARLOS ROGERIO GANIKO; ANA CRISTINA RAMOS TENA; CHRISTIAN REINHARD THEODOR STIER; CELIA REGINA PIZZI; JORGE GUSTAVO ARBEX"
"05.352.572/0001-53";"LORAC INFORMATICA LTDA";"";"2002-09-30";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(11) 2283-5055 / (11";"joyce.gigek@gmail.com";"RUA VOLUNTARIOS DA PATRIA";"1772";"SANTANA";"SAO PAULO";"SP";"02.010-5";"62.09-1-00";"Suporte técnico, manutenção e outros serviços em tecnologia da informação";"47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 82.20-2-00 - Atividades de teleatendimento; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"JOYCE GIGEK GOMES SANCHES; NELSON DE SOUZA GOMES"
"05.359.927/0001-36";"PROTEGA - SECURITY SOLUTIONS LTDA";"PROTEGA";"2002-09-11";"BAIXADA";"MATRIZ";"DEMAIS";"(19) 3239-0958 / (19";"fabio@protega.com.br";"AVENIDA CORONEL SILVA TELES";"977";"CAMBUI";"CAMPINAS";"SP";"13.024-0";"00.00-0-00";"********";"00.00-0-00 - Não informada";"LUIS GUSTAVO DE OLIVEIRA PEREIRA; SAFEWAY CONSULTORIA EMPRESARIAL S.A.; UMBERTO ROSTI JUNIOR"
"05.364.904/0001-10";"VULCANO LABORATORIO DE ANALISES QUIMICAS S/S LTDA";"";"2002-10-24";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3844-8953 / (19";"financeiro@laboratoriovulcano.com.br";"AVENIDA MAURO KREPSKI";"601";"JARDIM IPE";"PAULINIA";"SP";"13.140-5";"71.20-1-00";"Testes e análises técnicas";"85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"PIERRE FABIANO ZANOVELO; KAUE JOSE SOUZA DE ALMEIDA"
"05.411.789/0001-97";"SHOWCASE PRO TECNOLOGIA LTDA";"";"2002-10-10";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(11) 3081-4886";"brimacltda@terra.com.br";"AVENIDA ANTONIO ARTIOLI";"570";"SWISS PARK";"CAMPINAS";"SP";"13.049-2";"63.19-4-00";"Portais, provedores de conteúdo e outros serviços de informação na internet";"33.21-0-00 - Instalação de máquinas e equipamentos industriais; 46.51-6-01 - Comércio atacadista de equipamentos de informática; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 59.11-1-01 - Estúdios cinematográficos; 59.11-1-99 - Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente; 59.12-0-01 - Serviços de dublagem; 59.12-0-99 - Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente; 59.20-1-00 - Atividades de gravação de som e de edição de música; 61.10-8-03 - Serviços de comunicação multimídia - SCM; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 73.19-0-03 - Marketing direto; 74.90-1-01 - Serviços de tradução, interpretação e similares; 74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente; 77.39-0-99 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial; 85.99-6-99 - Outras atividades de ensino não especificadas anteriormente; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"ISABELLA TRINDADE JUNQUEIRA DE MELO; MANOELA FRANCO PERESSINOTO"
"05.588.988/0001-75";"IMIDIA MULTIMEIOS LTDA";"IMIDIA EVENTOS";"2003-02-25";"BAIXADA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 3203-8600";"masterliberalis@terra.com.br";"RUA DONA LIBANIA";"2191";"CENTRO";"CAMPINAS";"SP";"13.015-0";"00.00-0-00";"********";"00.00-0-00 - Não informada";"EDNA CORDEIRO BONADIA; MICHELE BONADIA"
"06.176.586/0001-26";"SIDI";"";"2004-03-26";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3344-4500";"hie.chae@sidi.org.br";"AVENIDA REPUBLICA DO LIBANO";"251";"PINA";"RECIFE";"PE";"51.110-1";"72.10-0-00";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"62.01-5-01 - Desenvolvimento de programas de computador sob encomenda; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 77.40-3-00 - Gestão de ativos intangíveis não-financeiros; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"JIN HONG YI"
